Name,Genre,Director,Scenarist,Actor1,Actor2,Actor3,Channel,Publisher,NumberOfSeasons,NumberOfEpisodes,PublishYear,Status
Gülbeyaz,Macera,Özer Kızıltan,Rüya İşçileri,Şevval Sam,Nejat İşler,Meral Çetinkaya,Kanal D,eyeQ prodiction,1,26,2002,Sona erdi
Gümüş,Dram,Tarık Alpagut,Eylem Canpolat,Kıvanç Tatlıtuğ,Songül Öden,Ekrem Bora,Kanal D,D Productions,3,100,2005,Sona erdi
Hayat Bilgisi,Gençlik,Tarkan Karlıdağ,Gani Müjde,Perran Kutman,Tarık Pabuççuoğlu,Kerem Kupacı,Kanal D,Süreç Film,4,137,2003,Sona erdi
Haziran Gecesi,Dram,Andaç Haznedaroğlu,Mahinur Ergun,Özcan Deniz,Naz Elmas,Nebahat Çehre,Kanal D,Gold Film,2,62,2004,Sona erdi
Hekimoğlu,Dram,Hasan Karacadağ,Mahmut Bengi,Serdar Özer,İsmet Gülsoy,Cem Kurtoğlu,Samanyolu TV,Samanyolu TV,1,39,2003,Sona erdi
Hırsız Polis,Polisiye,Türkan Derya Güven,Gaye Boralıoğlu,Uğur Yücel,Timuçin Esen,Özlem Düvencioğlu,Kanal D,TMC Film,2,50,2005,Sona erdi
Hürrem Sultan,Tarihî,Fatih Aksoy,İlhami Algör,Gülben Ergen,Ali Sürmeli,Hatice Aslan,Star TV,Medyapım,1,8,2003,Sona erdi
Gurbet Kadını,Dram,Sahin Gök,Ahmet Yurdakul,Meltem Cumbul,Burak Hakkı,Fatma Girik,Show TV,Erler Film,2,75,2003,Sona erdi
Ihlamurlar Altında,Dram,Aydın Bulut,Nilgün Öneş,Bülent İnal,Tuba Büyüküstün,Özge Borak,Kanal D,Avşar Film,2,80,2005,Sona erdi
İkinci Bahar,Dram,Uğur Yücel,Sulhi Dölek,Türkan Şoray,Şener Şen,Tarık Papuççuoğlu,atv,Erler Film,3,37,1998,Sona erdi
Kadın İsterse,Dram,Bora Tekay,Birol Güven,Hülya Avşar,Cihan Ünal,Deniz Çakır,Star TV,Mint,2,52,2004,Sona erdi
Kalp Gözü,Dram,Gül Güzelkaya,Süleyman Çobanoğlu,Süleyman Çobanoğlu,Sait Genay,Özden Özgürdal,Kanal 7,Kanal 7,3,50,2004,Sona erdi
Kampüsistan,Dram,Uluç Bayraktar,Deniz Ergun,Kaan Urgancıoğlu,Göksun Çam,Burak Altay,Kanal D,D Productions,2,44,2003,Sona erdi
Kezban Yenge,Komedi,Hilal Saral,Kasım Uçkan,Şensel Uykal,Gökçe Yurtsal,Gamze İnci,Kanal 7,Kanal 7,2,46,2005,Sona erdi
Kınalı Kar,Dram,Taner Akvardar,Gamze Özer,Emrah,Özlem Conker,Engin Şenkan,Kanal D,Yağmur Ajans,3,90,2002,Sona erdi
Koçum Benim,Komedi,Vecihi Ener,Yonca Akasya,Tarık Akan,Ebru Cündübeyoğlu,Engin Altan,TRT 1,Replik Ajans,2,47,2002,Sona erdi
Kurtlar Vadisi,Aksiyon,Osman Sınav,Ahmet Yurdakul,Necati Şaşmaz,Özgü Namal,Selçuk Yöntem,Show TV,Sinegraf,4,97,2003,Sona erdi
Kurşun Yarası,Dram,Özer Kiziltan,Ilker Arslan,Berdan Mardini,Gerçek Sağlar,Bülent İnal,atv,Avşar Film,2,60,2003,Sona erdi
Lise Defteri,Gençlik,Mustafa Altıoklar,Mustafa Altioklar,Ece Erken,Emre Altuğ,Arda Kural,Kanal D,Kanal D,1,28,2003,Sona erdi
Mavi Rüya,Dram,Avni Kütükoğlu,Samim Utku,Melda Bekcan,Ali Başar,Esin Civangil,Samanyolu TV,Ser Film,2,71,2004,Sona erdi
Serseri,Romantik,Cem Akyoldaş,Alican Yaraş,Gamze Özçelik,Okan Yalabık,Erkan Petekkaya,Kanal D,Yağmur Ajans,2,63,2003,Sona erdi
Sihirli Annem,Fantastik,Ersoy Güler,Gamze Özer,İnci Türkay,Şahap Sayılgan,Defne Joy Foster,Kanal D,Süreç Film,7,240,2003,Sona erdi
Sırlar Dünyası,Dram,Taner Tunç,Mehmet Uyar,Reha Yeprem,Fatma Belgen,Salih Kırmızı,Samanyolu TV,Ser Film,5,132,2004,Sona erdi
Sultan Makamı,Dram,Aydin Bulut,Ali Ulvi Hünkar,Şevket Çoruh,Başak Köklükaya,Uğur Polat,Kanal D,Avşar Film,1,26,2003,Sona erdi
Şubat Soğuğu,Dram,Murat Saraçoğlu,Mahmut Bengi,Kenan Bal,Suavi Eren,Özgür Özberk,Samanyolu TV,Ser Film,2,78,2004,Sona erdi
Şöhret,Dram,Bahadır İnce,Deniz Akçay,Ahu Türkpençe,Atilla Saral,Murat Ünalmış,atv,Gold Film,2,71,2005,Sona erdi
Tatlı Hayat,Komedi,Bora Tekay,Haluk Özenç,Türkan Şoray,Haluk Bilginer,Asuman Dabak,Show TV,Medyapım,3,106,2001,Sona erdi
Vay Anam Vay,Komedi,Erdoğan Engin,Gani Müjde,Nevra Serezli,Atilla Olgaç,Sıdıka Şenkan,Kanal D,D Productions,1,60,2000,Sona erdi
Yabancı Damat,Dram,Yağmur Taylan,Güliz Kucur,Erdal Özyağcılar,Sumru Yavrucuk,Nehir Erdoğan,Kanal D,Erler Film,3,106,2004,Sona erdi
Yanık Koza,Dram,Murat Saraçoğlu,N. İpek Aksoy,Yavuz Bingöl,Başak Köklükaya,Çolpan İlhan,Show TV,Limon Film,3,68,2005,Sona erdi
Yarım Elma,Komedi,Deniz Akçay Katıksız,Gani Müjde,Janset Paçal,Günay Karacaoğlu,Selim Erdoğan,Kanal D,Sis Yapım,2,55,2002,Sona erdi
Yeditepe İstanbul,Dram,Türkân Derya Güven,Ali Ulvi Hünkar,Zuhal Olcay,Ugur Polat,Emre Kinay,TRT 1,TRT,2,47,2001,Sona erdi
Yeniden Çalıkuşu,Dram,Cem Akyoldaş,Hakan Haksun,Tuba Ünsal,Burak Hakkı,Kaan Urgancıoğlu,Star TV,Kalinos Prodüksiyon,1,7,2005,Sona erdi
Zehirli Çiçek,Dram,Samim Deger,Safa Önal,Tuğba Özay,Çağla Şikel,Aysun Kayacı,Show TV,Erler Film,2,21,2000,Sona erdi
Zerda,Dram,Kudret Sabancı,Gaye Boralıoğlu,Yavuz Bingöl,Ece Uslu,Burak Sergen,atv,TMC,2,68,2002,Sona erdi
Acemi Cadı,Fantastik,Feride Kaytan,Haluk Özenç,Merve Boluğur,Şenay Gürler,Nergis Kumbasar,Kanal D,D Productions,2,58,2006,Sona erdi
Adak,Dram,Adnan Güler,Gamze Özer,Emrah Erdoğan İpek,Hande Subaşı,Fatma Belgen,Show TV,Gold Film,1,10,2006,Sona erdi
Arka Sokaklar,Polisiye,Orhan Oğuz,Ahmet Yurdakul,Zafer Ergin,Özgür Ozan,İlker İnanoğlu,Kanal D,Erler Film,18,657,2006,Devam ediyor
Binbir Gece,Dram,Kudret Sabancı,Yıldız Tunç,Halit Ergenç,Bergüzar Korel,Tardu Flordun,Kanal D,TMC,3,90,2006,Sona erdi
Doktorlar,Dram,Merve Girgin,Ebru Hacıoğlu,Kutsi,Bekir Aksoy,Yasemin Özilhan,Show TV,Medyapım,4,97,2006,Sona erdi
Fırtına,Komedi,Metin Balekoğlu,Gökhan Horzum,Burçin Terzioğlu,Murat Yıldırım,Zerrin Sümer,Kanal D,BKM,1,48,2006,Sona erdi
Gönül,Komedi,Faruk Teber,Gani Müjde,Gülben Ergen,Ragıp Savaş,Güven Kıraç,Kanal D,Masalevi,1,7,2006,Sona erdi
Hatırla Sevgili,Dram,Ümmü Burhan,Basak Serpan,Cansel Elçin,Beren Saat,Okan Yalabık,atv,Sis Yapım,2,68,2006,Sona erdi
Hayat Türküsü,Dram,Hakan Gürtop,Grup Flamingo,Burak Davutoğlu,Devin Özgür Çınar,Sermin Hürmeriç,TRT 1,Koliba Film,2,60,2006,Sona erdi
İki Aile,Komedi,Nursan Esenboğa,Saygın Delibaş,Emre Kınay,İclal Aydın,Hakan Vanlı,Star TV,D Productions,2,93,2006,Sona erdi
Kadın İsterse,Dram,Bora Tekay,Birol Güven,Hülya Avşar,Cihan Ünal,Deniz Çakır,Star TV,Mint,2,52,2006,Sona erdi
Kaybolan Yıllar,Dram,Zeynep Günay,Sergin Akyaz,Yeşim Büber,Saruhan Hünel,Burak Hakkı,Star TV,Base Productions,2,49,2006,Sona erdi
Kınalı Kuzular,Tarihî,Tunç Davut,Erkan Akın,Cem Kurtoğlu,Ziya Kürküt,Erol Keskin,TRT 1,TRT,1,13,2006,Sona erdi
Kırık Kanatlar,Dram,Çağatay Tosun,Gül Dirican,Mehmet Ali Nuroğlu,Özge Özberk,Cansel Elçin,Kanal D,Avşar Film,2,36,2006,Sona erdi
Kod Adı,Polisiye,Tevfik Şenol,Merve Ateşoğlu,Gerçek Sağlar,Özgür Özberk,Korel Cezayirli,Kanal D,Serap Artistik Yapım,1,10,2006,Sona erdi
Köprü,Dram,Sadullah Şentürk,Ozan Yurdakul,Erdal Beşikçioğlu,Ayşegül Ünsal,İpek Karapınar,Star TV,Koliba Film,2,65,2006,Sona erdi
Pertev Bey'in Üç Kızı,Komedi,Tunç Başaran,Zülküf Yücel,Serdar Gökhan,Deniz Evrenol,Deniz Gökçer,TRT 1,TRT,1,6,2006,Sona erdi
Sağır Oda,İstihbarat,Serdar Akar,Ahmet Saatçioğlu,Orhan Kılıç,Çağla Kubat,Engin Cezzar,Kanal D,Tims Productions,1,34,2006,Sona erdi
Selena,Fantastik kurgu,Bora Onur,Gani Müjde,Sinem Kobal,Gökhan Keser,Cansu Demirci,atv,Süreç Film,3,104,2006,Sona erdi
Sevda Çiçeği,Romantik komedi,Tevfik Şenol,Özgür Evren Heptürk,Gökhan Özen,Yasemin Hadivent,Savaş Dinçel,Show TV,Süreç Film,1,24,2006,Sona erdi
Sıla,Dram,Yasin Uslu,Muharrem Buhara,Cansu Dere,Mehmet Akif Alakurt,Zeynep Eronat,atv,Fm Yapım,3,79,2006,Sona erdi
Yağmurdan Sonra,Dram,Cemile Kırmızı Karadaş,Samim Utku,Seçil Mutlu,Yıldız Çağrı Atiksoy,Ali Sürmeli,Samanyolu TV,Samanyolu TV,1,39,2006,Sona erdi
Yalancı Yarim,Aşk,Özer Kızıltan,Haluk Özenç,Barış Akarsu,Merve Sevi,Bülent Kayabaş,Star TV,FM Yapım,1,49,2006,Yayından kaldırıldı
Yaprak Dökümü,Aile,Mesude Erarslan,Ece Yörenç,Halil Ergün,Güven Hokna,Bennu Yıldırımlar,Kanal D,Ay Yapım,5,174,2006,Sona erdi
Yeşeren Düşler,Dram,Taner Tunç,Taner Tunç,Bilgehan Birincioğlu,Gülşah Şahin,Kadim Yaşar,Samanyolu TV,Ser Film,2,66,2006,Sona erdi
Annem,Dram,Faruk Teber,Gamze Özer,Vahide Perçin,Duygu Yetiş,Talat Bulut,Kanal D,Gold Film,2,64,2007,Sona erdi
Arka Sıradakiler,Gençlik,Hamdi Alkan,Nur Özlem Elginöz,Bülent Emin Yarar,Bülent Çetinaslan,Sinem Öztürk,FOX,MinT Prodüksiyon,6,193,2007,Sona erdi
Asi,Dram,Cevdet Mercan,Sebnem Çitak,Tuba Büyüküstün,Murat Yıldırım,Çetin Tekindor,Kanal D,Sis Yapım,2,71,2007,Sona erdi
Aşk Kapıyı Çalınca,Dram,Ömer Gökhan Erkut,Filiz Alpgezmen,Burak Kut,Burak Davutoğlu,Erdal Küçükkömürcü,Star TV,Koliba Film,1,8,2007,Sona erdi
Bez Bebek,Çocuk,Serpil Kurtça,Nilbanu Engindeniz,Evrim Akın,Tan Sağtürk,Alpay Atalan,FOX,Focus Film,3,101,2007,Sona erdi
Bıçak Sırtı,Dram,Selim Demirdelen,Gaye Boralıoğlu,Nejat İşler,Melisa Sözen,Fikret Kuşkan,Kanal D,TMC,1,30,2007,Sona erdi
Dudaktan Kalbe,Dram,Andaç Haznedaroğlu,Ece Yörenç,Aslı Tandoğan,Burak Hakkı,Özge Özder,Show TV,Ay Yapım,2,75,2007,Sona erdi
Elveda Derken,Dram,Hilal Saral Ünalan,Özgür Evren Heptürk,Ece Uslu,Gökhan Tepe,Burcu Kara,Kanal D,Yağmur Ajans,2,51,2007,Sona erdi
